"","Property_Sector","Origination_Date","Fixed_Maturity","Recent_NOI","Recent_Value","Orig_Note_Amount","Year_Built","Physical_Occupancy_At_Securitiza","Scheduled_Balloon","FSH","Health","Industrial","LSH","Mixed_Use","Mobile_Home","Multi_family","Office","Other","Retail_Anchored","Retail_Unanchored","Self_Storage","Warehouse","Spread","Inv_Bank_Dummy"
"1","Retail Anchored",1997-01-01,2006-12-01,2847918,30500000,22500000,1961,1,19519980.01,0,0,0,0,0,0,0,0,0,1,0,0,0,2.2675,0
"2","Retail Anchored",1997-05-01,2007-05-01,2281587,2.7e+07,18225000,1993,0.95,16664593.12,0,0,0,0,0,0,0,0,0,1,0,0,0,2.0145,0
"3","Retail Anchored",1996-11-01,2006-11-01,2055128,21200000,14990000,1990,0.95,13289173.26,0,0,0,0,0,0,0,0,0,1,0,0,0,2.0445,0
"4","Multi-family",1996-08-01,2003-08-01,1466031,1.7e+07,12600000,1989,0.97,11875789.61,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0445,0
"5","Multi-family",1997-01-01,2002-01-01,1563082.91,1.5e+07,11960000,-1,-1,11419666.92,0,0,0,0,0,0,1,0,0,0,0,0,0,2.3045,0
"6","Multi-family",1996-09-01,2003-09-01,1095040,15800000,11800000,1990,0.89,10976445.6,0,0,0,0,0,0,1,0,0,0,0,0,0,1.163,0
"7","Multi-family",1996-08-01,2003-08-01,1488386,18200000,11750000,1989,0.92,11074475.53,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0445,0
"8","Healthcare",1997-03-01,2017-03-01,2154202,17300000,10500000,1969,0.98,1.32,0,1,0,0,0,0,0,0,0,0,0,0,0,2.1795,0
"9","Multi-family",1997-05-01,2007-05-01,1349540.73,13100000,10250000,-1,-1,9081761.37,0,0,0,0,0,0,1,0,0,0,0,0,0,1.5445,0
"10","Mixed Use",1997-01-01,2007-01-01,1315048,14200000,10235000,1914,0.95,8497334.14,0,0,0,0,1,0,0,0,0,0,0,0,0,2.7445,0
"11","Multi-family",1997-06-01,2007-06-01,1188927,12200000,9650000,1965,0.99,8530265.95,0,0,0,0,0,0,1,0,0,0,0,0,0,1.5645,0
"12","Office",1997-01-01,2007-01-01,1294595,15100000,9450000,1972,0.86,7757007.92,0,0,0,0,0,0,0,1,0,0,0,0,0,2.2545,0
"13","Multi-family",1996-08-01,2003-08-01,1101168,1.3e+07,9400000,1989,1,8859580.08,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0445,0
"14","Multi-family",1996-07-01,2006-07-01,977452,12300000,9200000,1972,0.97,8232096.85,0,0,0,0,0,0,1,0,0,0,0,0,0,1.033,0
"15","Multi-family",1997-04-01,2007-04-01,907989,10800000,8585000,1970,0.87,7619629.13,0,0,0,0,0,0,1,0,0,0,0,0,0,1.7345,0
"16","Multi-family",1997-03-01,2007-03-01,961897,10500000,8462270,1979,0.97,7467114.79,0,0,0,0,0,0,1,0,0,0,0,0,0,1.7245,0
"17","Multi-family",1996-04-01,2006-04-01,749903,11400000,8500000,1975,0.97,7464258.08,0,0,0,0,0,0,1,0,0,0,0,0,0,1.573,0
"18","Multi-family",1996-12-01,2003-12-01,947953,12300000,8430000,1974,0.9,7842633.11,0,0,0,0,0,0,1,0,0,0,0,0,0,2.3645,0
"19","Limited Service Hotel",1997-02-01,2007-02-01,1324334,15400000,8350000,1978,0.79,6964970.46,0,0,0,1,0,0,0,0,0,0,0,0,0,2.6745,0
"20","Multi-family",1997-04-01,2007-04-01,987044,10400000,8265000,1970,0.94,7335612.07,0,0,0,0,0,0,1,0,0,0,0,0,0,1.7345,0
"21","Multi-family",1996-09-01,2003-09-01,928955,10400000,7650000,1969,0.93,7120547.28,0,0,0,0,0,0,1,0,0,0,0,0,0,1.163,0
"22","Retail Anchored",1995-09-01,2000-09-01,833660,9500000,7e+06,1972,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.7445417,0
"23","Multi-family",1997-03-01,2007-03-01,734861,9200000,6970850,1977,0.94,6151084.8,0,0,0,0,0,0,1,0,0,0,0,0,0,1.7245,0
"24","Multi-family",1997-04-01,2007-04-01,823293,10500000,6800000,1970,0.86,5770928.54,0,0,0,0,0,0,1,0,0,0,0,0,0,1.6095,0
"25","Multi-family",1997-03-01,2007-03-01,773013,8100000,6556730,1979,0.91,5785665.31,0,0,0,0,0,0,1,0,0,0,0,0,0,1.7245,0
"26","Industrial",1997-05-01,2007-05-01,863317,9300000,6300000,1980,0.98,5248022.06,0,0,1,0,0,0,0,0,0,0,0,0,0,2.3445,0
"27","Industrial",1997-05-01,2007-05-01,795294,8100000,6e+06,1996,1,5392282.18,0,0,1,0,0,0,0,0,0,0,0,0,0,2.3245,0
"28","Multi-family",1996-10-01,2006-09-01,710433,7500000,5970000,1990,0.97,5374845.33,0,0,0,0,0,0,1,0,0,0,0,0,0,2.50743333333333,0
"29","Retail Unanchored",1997-03-01,2007-03-01,726759,8600000,5420000,1986,1,4500926.38,0,0,0,0,0,0,0,0,0,0,1,0,0,2.5955,0
"30","Multi-family",1997-04-01,2007-04-01,691653,6800000,5407605,1972,0.99,4401376.17,0,0,0,0,0,0,1,0,0,0,0,0,0,1.4545,0
"31","Office",1996-12-01,2006-12-01,711441,7025000,5240000,1978,0.97,4336529.85,0,0,0,0,0,0,0,1,0,0,0,0,0,2.8245,0
"32","Multi-family",1997-01-01,2006-12-01,573211,6600000,5081006,1974,0.94,4055933.52,0,0,0,0,0,0,1,0,0,0,0,0,0,1.4397,0
"33","Limited Service Hotel",1997-02-01,2007-02-01,798406,10200000,5050000,1988,0.77,4212348.6,0,0,0,1,0,0,0,0,0,0,0,0,0,2.6745,0
"34","Multi-family",1997-01-01,2006-12-01,639270,6500000,4557427,1986,0.93,3485110.25,0,0,0,0,0,0,1,0,0,0,0,0,0,1.4428,0
"35","Retail Unanchored",1997-04-01,2007-04-01,751025,8500000,4500000,1986,0.75,3728379.69,0,0,0,0,0,0,0,0,0,0,1,0,0,2.2045,0
"36","Retail Anchored",1997-02-01,2004-02-01,596594,6500000,4500000,1962,0.93,4037470.42,0,0,0,0,0,0,0,0,0,1,0,0,0,2.5145,0
"37","Multi-family",1996-11-01,2006-11-01,563981,5800000,4450000,1970,0.99,3954834.38,0,0,0,0,0,0,1,0,0,0,0,0,0,1.473,0
"38","Limited Service Hotel",1997-01-01,2007-01-01,723705,6600000,4400000,1981,0.56,3285899.15,0,0,0,1,0,0,0,0,0,0,0,0,0,2.2945,0
"39","Multi-family",1997-01-01,2007-01-01,542174,6400000,4350000,1983,0.9,3572460.38,0,0,0,0,0,0,1,0,0,0,0,0,0,2.2745,0
"40","Retail Anchored",1996-12-01,2006-12-01,566441,5700000,4275000,1989,1,3620362.97,0,0,0,0,0,0,0,0,0,1,0,0,0,2.1845,0
"41","Industrial",1997-04-01,2007-04-01,489279,5500000,4e+06,1947,1,3310328.47,0,0,1,0,0,0,0,0,0,0,0,0,0,2.1545,0
"42","Multi-family",1996-10-01,2006-10-01,443269,5100000,3925000,1982,0.98,3487596.23,0,0,0,0,0,0,1,0,0,0,0,0,0,1.163,0
"43","Mixed Use",1996-10-01,2006-10-01,490539,5400000,3890000,1977,0.96,3356726.97,0,0,0,0,1,0,0,0,0,0,0,0,0,2.4545,0
"44","Retail Unanchored",1997-02-01,2007-02-01,574458,6200000,3860000,1977,0.97,3180444.45,0,0,0,0,0,0,0,0,0,0,1,0,0,2.1345,0
"45","Industrial",1996-10-01,2006-10-01,542693,5800000,3850000,1985,1,3229647.77,0,0,1,0,0,0,0,0,0,0,0,0,0,2.8245,0
"46","Multi-family",1996-05-01,2006-05-01,401892,5e+06,3725000,1988,0.98,3290835.69,0,0,0,0,0,0,1,0,0,0,0,0,0,1.363,0
"47","Retail Anchored",1997-02-01,2007-02-01,498228,5800000,3500000,1963,0.95,2877733.73,0,0,0,0,0,0,0,0,0,1,0,0,0,2.0445,0
"48","Industrial",1997-06-01,2007-06-01,472362,5100000,3535000,1961,1,3175305.5,0,0,1,0,0,0,0,0,0,0,0,0,0,2.4345,0
"49","Multi-family",1997-03-01,2007-03-01,372649,4100000,3310150,1981,0.98,2920878.71,0,0,0,0,0,0,1,0,0,0,0,0,0,1.7245,0
"50","Multi-family",1997-03-01,2007-03-01,469028,5360000,3300000,1987,0.98,2834543.54,0,0,0,0,0,0,1,0,0,0,0,0,0,1.7245,0
"51","Multi-family",1996-10-01,2003-10-01,374886,4500000,3300000,1970,1,3082143.79,0,0,0,0,0,0,1,0,0,0,0,0,0,1.273,0
"52","Mixed Use",1996-09-01,2006-09-01,487113,5302000,3225000,1975,1,2675955.84,0,0,0,0,1,0,0,0,0,0,0,0,0,2.2195,0
"53","Mixed Use",1997-06-01,2007-06-01,396057,5200000,3200000,1888,0.97,2716634.8,0,0,0,0,1,0,0,0,0,0,0,0,0,1.6645,0
"54","Healthcare",1997-04-01,2007-04-01,598359,4260000,3200000,1983,1,2669210.17,0,1,0,0,0,0,0,0,0,0,0,0,0,2.5045,0
"55","Healthcare",1996-09-01,2006-09-01,573484,4770000,3185000,1984,0.95,2646645.73,0,1,0,0,0,0,0,0,0,0,0,0,0,2.35,0
"56","Retail Unanchored",1997-04-01,2017-04-01,454856,4400000,3010000,1962,1,353103.03,0,0,0,0,0,0,0,0,0,0,1,0,0,2.0995,0
"57","Mixed Use",1997-03-01,2007-03-01,391943,4200000,3e+06,1920,1,2497944.97,0,0,0,0,1,0,0,0,0,0,0,0,0,2.7145,0
"58","Office",1997-02-01,2007-02-01,419470,4e+06,3e+06,1987,1,2478178.57,0,0,0,0,0,0,0,1,0,0,0,0,0,2.2445,0
"59","Mixed Use",1996-12-01,2006-12-01,642410,9700000,3e+06,1917,0.98,2113765.68,0,0,0,0,1,0,0,0,0,0,0,0,0,2.5385,0
"60","Full Service Hotel",1996-12-01,2006-12-01,536832,4800000,2850000,1920,1,2244535.14,1,0,0,0,0,0,0,0,0,0,0,0,0,2.7645,0
"61","Retail Unanchored",1997-05-01,2007-05-01,378804,4300000,2800000,1980,0.97,2344018.28,0,0,0,0,0,0,0,0,0,0,1,0,0,2.5695,0
"62","Retail Anchored",1996-10-01,2001-09-01,425125,5400000,2800000,1985,0.83,2619372.13,0,0,0,0,0,0,0,0,0,1,0,0,0,2.6121,0
"63","Multi-family",1996-12-01,2006-12-01,369083,4e+06,2800000,1973,1,1973194.54,0,0,0,0,0,0,1,0,0,0,0,0,0,1.773,0
"64","Multi-family",1997-01-01,2007-01-01,293206,5500000,2750000,-1,-1,2425158.21,0,0,0,0,0,0,1,0,0,0,0,0,0,1.8545,0
"65","Multi-family",1996-10-01,2006-10-01,412613,4050000,2750000,1971,0.94,2262142.2,0,0,0,0,0,0,1,0,0,0,0,0,0,1.9545,0
"66","Retail Unanchored",1997-05-01,2004-05-01,384322,3550000,2585000,1936,1,2327755.2,0,0,0,0,0,0,0,0,0,0,1,0,0,2.3945,0
"67","Self Storage",1997-03-01,2007-03-01,414763,3865000,2500000,-1,-1,2055038.24,0,0,0,0,0,0,0,0,0,0,0,1,0,2.1545,0
"68","Multi-family",1996-11-01,2006-11-01,305211,3925000,2500000,1976,0.89,2070850.18,0,0,0,0,0,0,1,0,0,0,0,0,0,2.5645,0
"69","Retail Unanchored",1996-09-01,2006-08-01,358070,3650000,2280000,1965,1,1473396.92,0,0,0,0,0,0,0,0,0,0,1,0,0,2.2228,0
"70","Retail Unanchored",1996-10-01,2006-10-01,323883,3250000,2200000,1968,0.99,1849463.5,0,0,0,0,0,0,0,0,0,0,1,0,0,2.9245,0
"71","Retail Anchored",1996-10-01,2006-10-01,299249,3e+06,2119600,1984,0.98,1764094.11,0,0,0,0,0,0,0,0,0,1,0,0,0,2.4645,0
"72","Multi-family",1997-03-01,2007-03-01,302061,3100000,2100000,1970,0.96,1803800.81,0,0,0,0,0,0,1,0,0,0,0,0,0,1.7245,0
"73","Retail Anchored",1997-01-01,2007-01-01,280559,3200000,2e+06,1981,0.96,1638955.98,0,0,0,0,0,0,0,0,0,1,0,0,0,2.1845,0
"74","Industrial",1997-01-01,2007-01-01,257527,3e+06,1950000,1957,1,1611188.71,0,0,1,0,0,0,0,0,0,0,0,0,0,2.5345,0
"75","Multi-family",1997-04-01,2007-04-01,237574,2490000,1740000,1978,0.92,1421775.41,0,0,0,0,0,0,1,0,0,0,0,0,0,1.6145,0
"76","Retail Unanchored",1996-09-01,2006-09-01,284962,3200000,1685000,1987,1,1377301.16,0,0,0,0,0,0,0,0,0,0,1,0,0,1.8845,0
"77","Multi-family",1996-03-01,2006-03-01,210182,2200000,1600000,1967,0.92,1290567.56,0,0,0,0,0,0,1,0,0,0,0,0,0,1.8245,0
"78","Multi-family",1997-04-01,2007-04-01,241531,2270000,1560000,1979,0.91,1274694.92,0,0,0,0,0,0,1,0,0,0,0,0,0,1.6145,0
"79","Multi-family",1997-04-01,2007-04-01,183259,2200000,1525000,1986,0.96,1363068.26,0,0,0,0,0,0,1,0,0,0,0,0,0,2.1145,0
"80","Multi-family",1997-01-01,2007-01-01,186541,2350000,1525000,1979,0.96,1294933.36,0,0,0,0,0,0,1,0,0,0,0,0,0,2.0845,0
"81","Retail Unanchored",1996-09-01,2006-09-01,241851,2450000,1505000,1986,1,1239172.85,0,0,0,0,0,0,0,0,0,0,1,0,0,1.8845,0
"82","Multi-family",1996-08-01,2006-08-01,171382,2e+06,1500000,1973,0.97,1344550.63,0,0,0,0,0,0,1,0,0,0,0,0,0,1.043,0
"83","Retail Unanchored",1997-03-01,2007-03-01,207853.09,1950000,1450000,1996,1,1203006.86,0,0,0,0,0,0,0,0,0,0,1,0,0,2.5545,0
"84","Industrial",1997-03-01,2007-03-01,189686,1980000,1435000,1982,1,1190047.08,0,0,1,0,0,0,0,0,0,0,0,0,0,2.5365,0
"85","Multi-family",1997-05-01,2007-05-01,164956,1750000,1370000,1972,0.87,1176379.53,0,0,0,0,0,0,1,0,0,0,0,0,0,2.0545,0
"86","Multi-family",1997-05-01,2003-12-01,151956,2250000,1300000,1972,0.94,1224079.65,0,0,0,0,0,0,1,0,0,0,0,0,0,2.1003,0
"87","Multi-family",1997-04-01,2007-04-01,155759,1675000,1300000,1986,0.97,1162587.38,0,0,0,0,0,0,1,0,0,0,0,0,0,2.1445,0
"88","Retail Unanchored",1997-05-01,2007-05-01,165518,1700000,1250000,1987,1,1047910.28,0,0,0,0,0,0,0,0,0,0,1,0,0,2.6345,0
"89","Limited Service Hotel",1997-02-01,2017-02-01,213316,1817000,1150000,1963,0.72,3.79,0,0,0,1,0,0,0,0,0,0,0,0,0,3.5115,0
"90","Multi-family",1997-04-01,2007-04-01,147225,1600000,1145000,1975,0.95,941651.3,0,0,0,0,0,0,1,0,0,0,0,0,0,1.8845,0
"91","Multi-family",1997-03-01,2007-03-01,166954,2200000,1100000,1971,1,944847.29,0,0,0,0,0,0,1,0,0,0,0,0,0,1.7245,0
"92","Industrial",1996-11-01,2006-11-01,148165,1600000,1021000,1979,0.89,844960.81,0,0,1,0,0,0,0,0,0,0,0,0,0,2.5245,0
"93","Office",1997-04-30,2007-04-30,136239,1400000,1e+06,1986,1,835047.34,0,0,0,0,0,0,0,1,0,0,0,0,0,2.4545,0
"94","Office",1997-01-01,2007-01-01,127287,1420000,980000,1991,1,809631.3,0,0,0,0,0,0,0,1,0,0,0,0,0,2.5295,0
"95","Retail Unanchored",1996-10-01,2006-09-01,133585,1540000,950000,1966,1,794693.92,0,0,0,0,0,0,0,0,0,0,1,0,0,2.58243333333333,0
"96","Multi-family",1997-02-01,2007-02-01,108269,1200000,870000,1966,0.98,710886.81,0,0,0,0,0,0,1,0,0,0,0,0,0,1.7845,0
"97","Multi-family",1994-03-01,2004-03-01,245183.33,5720000,4285000,1973,0.84,3204197.23,0,0,0,0,0,0,1,0,0,0,0,0,0,3.605,0
"98","Limited Service Hotel",1994-11-01,2014-11-01,448878.09,5e+06,2213000,1965,0.95,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.9958333,0
"99","Limited Service Hotel",1994-11-01,2014-11-01,518472.6,3550000,1917000,1989,0.98,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.895,0
"100","Limited Service Hotel",1994-11-01,2014-11-01,853454.47,7300000,4148000,1963,0.98,3.06,0,0,0,1,0,0,0,0,0,0,0,0,0,3.895,0
"101","Limited Service Hotel",1994-11-01,2014-11-01,360243.98,2800000,1280000,1975,0.98,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.895,0
"102","Limited Service Hotel",1994-11-01,2014-11-01,622000.07,4875000,2126000,1972,0.98,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.895,0
"103","Other",1994-09-01,2014-09-01,422031.14,2530000,1719000,1987,0.59,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.065,0
"104","Multi-family",1994-07-01,2004-07-01,129211.74,1350000,950000,1964,0.98,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.5908333,0
"105","Multi-family",1994-01-01,2001-01-01,180908.72,1400000,980000,1977,1,871517.6,0,0,0,0,0,0,1,0,0,0,0,0,0,2.92,0
"106","Multi-family",1994-04-01,2001-04-01,152008.02,1650000,1100000,1974,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.4808333,0
"107","Multi-family",1993-11-01,2000-11-01,164533.98,1800000,1250000,1966,0.99,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.3508333,0
"108","Multi-family",1994-03-01,2001-03-01,167641.28,1940000,1300000,1973,0.99,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.9608333,0
"109","Multi-family",1993-11-01,2000-11-01,217502.5,2675000,1680000,1968,0.98,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.2108333,0
"110","Multi-family",1993-09-01,2000-09-01,261243.49,3630000,2130000,1976,0.93,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.2108333,0
"111","Multi-family",1993-09-01,2000-09-01,374690.7,3700000,2775000,1973,0.96,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.4608333,0
"112","Multi-family",1994-08-01,2001-08-01,549817,5700000,4035000,1976,1,3795803.94,0,0,0,0,0,0,1,0,0,0,0,0,0,2.22,0
"113","Multi-family",1994-06-01,2019-06-01,844977.57,6125000,4070000,1966,0.97,1.2,0,0,0,0,0,0,1,0,0,0,0,0,0,2.765,0
"114","Multi-family",1993-07-01,1998-07-01,604781.54,6200000,4479000,1962,0.94,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.4108333,0
"115","Multi-family",1994-08-01,2001-08-01,855953,8980000,5615000,1976,0.87,5282141.19,0,0,0,0,0,0,1,0,0,0,0,0,0,2.22,0
"116","Multi-family",1994-01-01,1999-01-01,994918.64,11900000,8e+06,1975,0.94,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.1408333,0
"117","Multi-family",1994-03-01,2001-03-01,1097125.55,11300000,8300000,1969,0.99,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.6208333,0
"118","Multi-family",1994-09-01,2001-09-01,464441.95,4650000,3320000,1974,0.97,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.7208333,0
"119","Multi-family",1994-08-01,2001-08-01,389286.82,5200000,3100000,1964,0.93,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.1808333,0
"120","Multi-family",1994-08-01,2001-08-01,974966.94,1e+07,7400000,1972,0.94,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.1808333,0
"121","Multi-family",1994-09-01,2001-09-01,229228.4,2250000,1610000,1981,0.99,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.7508333,0
"122","Multi-family",1994-05-01,2004-05-01,450084,4400000,2250000,1972,1,1648524.59,0,0,0,0,0,0,1,0,0,0,0,0,0,3.055,0
"123","Multi-family",1994-04-01,1999-04-01,326006.55,3875000,2650000,1986,0.94,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.9258333,0
"124","Multi-family",1994-07-01,2001-07-01,293700.23,2965000,2165000,1979,0.98,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.5058333,0
"125","Multi-family",1994-07-01,2001-07-01,259435.71,3037000,1759800,1972,0.91,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.7958333,0
"126","Multi-family",1994-08-01,2001-08-01,438506,3600000,2100000,1965,0.98,1986847.76,0,0,0,0,0,0,1,0,0,0,0,0,0,2.77,0
"127","Multi-family",1994-10-01,2001-10-01,1056777.84,11300000,8203000,1973,0.97,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.3508333,0
"128","Multi-family",1994-11-01,2001-11-01,830109,9950000,7998981,1968,0.97,7259161.65,0,0,0,0,0,0,1,0,0,0,0,0,0,2.08,0
"129","Multi-family",1994-11-01,2001-11-01,911434.91,10600000,6589000,1976,0.94,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.6008333,0
"130","Multi-family",1994-11-01,2001-11-01,403745.12,4900000,3237000,1970,0.96,2955309.53,0,0,0,0,0,0,1,0,0,0,0,0,0,2.54,0
"131","Mobile Home",1994-08-01,2001-08-01,153381.48,2300000,1500000,1972,0.94,1355229.16,0,0,0,0,0,1,0,0,0,0,0,0,0,2.25,0
"132","Other",1994-09-01,2019-09-01,563187.43,5600000,2200000,1968,0.97,4.21,0,0,0,0,0,0,0,0,1,0,0,0,0,1.7825,0
"133","Other",1994-08-01,2019-08-01,451791.33,4050000,2090000,1989,1,18027.2,0,0,0,0,0,0,0,0,1,0,0,0,0,1.875,0
"134","Other",1994-08-01,2019-08-01,771247,5750000,3110000,1964,1,27044.58,0,0,0,0,0,0,0,0,1,0,0,0,0,1.975,0
"135","Other",1994-07-01,2004-07-01,466509.68,4600000,2650000,1973,0.98,2375791.4,0,0,0,0,0,0,0,0,1,0,0,0,0,1.76,0
"136","Other",1994-08-01,2019-08-01,693255,6e+06,3275000,1980,1,28370.51,0,0,0,0,0,0,0,0,1,0,0,0,0,1.925,0
"137","Other",1994-09-01,2001-10-01,181004.59,1600000,1250000,1972,0.97,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.86629996666667,0
"138","Other",1994-11-01,2004-11-01,269098,2300000,1575000,1986,0.82,1443260.78,0,0,0,0,0,0,0,0,1,0,0,0,0,2.54,0
"139","Multi-family",1994-02-01,2001-02-01,333872.34,1600000,1405000,1966,0.94,1179645.95,0,0,0,0,0,0,1,0,0,0,0,0,0,3.8378,0
"140","Multi-family",1994-02-01,2001-02-01,483120.34,3e+06,2460000,1970,0.97,2068756.95,0,0,0,0,0,0,1,0,0,0,0,0,0,3.8378,0
"141","Multi-family",1994-09-01,2004-09-01,609542.47,8600000,5160000,1987,0.97,3827687.71,0,0,0,0,0,0,1,0,0,0,0,0,0,3.22,0
"142","Retail Anchored",1994-11-01,2001-11-01,722404.14,5e+06,3e+06,1986,0.87,2746154.38,0,0,0,0,0,0,0,0,0,1,0,0,0,2.75,0
"143","Retail Anchored",1994-07-01,2001-07-01,389673.52,3600000,2726000,1988,0.77,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.1908333,0
"144","Retail Anchored",1994-07-01,2001-07-01,428126.21,4500000,2995000,1987,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.1908333,0
"145","Retail Anchored",1994-07-01,2001-07-01,378087.17,3810000,2570000,1984,0.92,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.5708333,0
"146","Warehouse",1994-05-01,2002-05-01,122142.36,1300000,760000,1987,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.52749996666667,0
"147","Warehouse",1994-08-01,2001-08-01,146113.47,1450000,962500,1984,0.89,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.7108333,0
"148","Warehouse",1994-06-01,2001-06-01,227838.42,1900000,1290000,1976,0.92,1185723.78,0,0,0,0,0,0,0,0,0,0,0,0,1,3.85,0
"149","Warehouse",1994-06-01,2001-06-01,366901.76,3200000,2206000,1976,0.83,2027679.8,0,0,0,0,0,0,0,0,0,0,0,0,1,3.85,0
"150","Mixed Use",1996-03-11,2006-01-11,7255201.34,75400000,58500000,-1,0,51928530.34,0,0,0,0,1,0,0,0,0,0,0,0,0,1.5014,0
"151","Mixed Use",1995-12-11,2006-02-11,2156215.14,26300000,19650000,-1,0.99,17178753.54,0,0,0,0,1,0,0,0,0,0,0,0,0,2.03694,0
"152","Mixed Use",1996-03-11,2006-02-11,1894064.76,2.5e+07,16400000,-1,0.86,14569498.39,0,0,0,0,1,0,0,0,0,0,0,0,0,1.5382,0
"153","Mixed Use",1996-03-11,2003-02-11,2279611.15,28600000,1.6e+07,-1,0,14791946.56,0,0,0,0,1,0,0,0,0,0,0,0,0,1.205,0
"154","Mixed Use",1996-02-11,2006-02-11,1456045.49,16700000,1.3e+07,-1,0.95,11415924.61,0,0,0,0,1,0,0,0,0,0,0,0,0,2.265,0
"155","Mixed Use",1995-12-11,2006-02-11,1451935.63,16200000,12800000,-1,0.85,11371315.07,0,0,0,0,1,0,0,0,0,0,0,0,0,1.93194,0
"156","Mixed Use",1995-12-11,2006-02-11,1166269.32,14600000,10900000,-1,0.8,9683386.57,0,0,0,0,1,0,0,0,0,0,0,0,0,1.93194,0
"157","Mixed Use",1996-01-11,2006-02-11,1009143.55,10400000,8450000,-1,0.99,7454810.6,0,0,0,0,1,0,0,0,0,0,0,0,0,2.533335,0
"158","Mixed Use",1996-03-11,2006-01-11,771582.93,9600000,6600000,-1,0.97,5807567.33,0,0,0,0,1,0,0,0,0,0,0,0,0,1.9614,0
"159","Mixed Use",1995-12-11,2005-11-11,964195.88,9150000,5800000,-1,0,4726377.91,0,0,0,0,1,0,0,0,0,0,0,0,0,2.56563333333333,0
"160","Mixed Use",1995-12-11,2015-09-11,775695.56,7300000,5468000,-1,0.9,2207964.6,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0095,0
"161","Mixed Use",1996-03-11,2006-01-11,814148.92,8650000,5100000,-1,0.97,4131437.69,0,0,0,0,1,0,0,0,0,0,0,0,0,1.9314,0
"162","Mixed Use",1995-10-11,2005-12-11,597051.42,5300000,4134000,-1,0.95,3356855.57,0,0,0,0,1,0,0,0,0,0,0,0,0,1.997025,0
"163","Mixed Use",1996-01-11,2006-02-11,499274.52,5950000,3900000,-1,0.86,3464697.12,0,0,0,0,1,0,0,0,0,0,0,0,0,1.983335,0
"164","Mixed Use",1995-09-11,2005-10-11,560789.29,7100000,3845000,-1,0.91,3174728.96,0,0,0,0,1,0,0,0,0,0,0,0,0,2.59344,0
"165","Mixed Use",1995-12-11,2005-11-11,452372.52,4270000,3200000,-1,0.97,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.23255003333333,0
"166","Mixed Use",1995-12-11,2001-02-11,428292.49,5100000,3050000,-1,0.88,2834831.96,0,0,0,0,1,0,0,0,0,0,0,0,0,3.04565,0
"167","Mixed Use",1996-02-11,2011-02-11,572751.67,5800000,3e+06,-1,0.98,2295445.99,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0
"168","Mixed Use",1996-03-11,2005-12-11,403156.03,3950000,2940000,-1,0.97,2392935.61,0,0,0,0,1,0,0,0,0,0,0,0,0,2.125,0
"169","Mixed Use",1995-12-11,2006-02-11,402123.77,4700000,2700000,-1,0.85,2341395.77,0,0,0,0,1,0,0,0,0,0,0,0,0,1.66194,0
"170","Mixed Use",1995-12-11,2006-03-11,330338.14,3650000,2700000,-1,0.98,2166056.5,0,0,0,0,1,0,0,0,0,0,0,0,0,1.9405,0
"171","Mixed Use",1996-02-11,2005-08-11,302523.92,3490000,2400000,-1,0.93,2147467.44,0,0,0,0,1,0,0,0,0,0,0,0,0,3.27166666666667,0
